group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Encode,Num threads,1,204439,bytes,1172737999.0,ns,1
Encode,Num threads,1,204439,bytes,2330239361.0,ns,2
Encode,Num threads,1,204439,bytes,3512953926.0,ns,3
Encode,Num threads,1,204439,bytes,6124440464.0,ns,4
Encode,Num threads,1,204439,bytes,6600648314.0,ns,5
Encode,Num threads,1,204439,bytes,9128307123.0,ns,6
Encode,Num threads,1,204439,bytes,10363708394.0,ns,7
Encode,Num threads,1,204439,bytes,12113788859.0,ns,8
Encode,Num threads,1,204439,bytes,13379295038.0,ns,9
Encode,Num threads,1,204439,bytes,13785642902.0,ns,10
