group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Decode,Num threads,8,204439,bytes,212072355.0,ns,1
Decode,Num threads,8,204439,bytes,428455728.0,ns,2
Decode,Num threads,8,204439,bytes,641983163.0,ns,3
Decode,Num threads,8,204439,bytes,860057107.0,ns,4
Decode,Num threads,8,204439,bytes,1120300192.0,ns,5
Decode,Num threads,8,204439,bytes,1311076593.0,ns,6
Decode,Num threads,8,204439,bytes,1508354473.0,ns,7
Decode,Num threads,8,204439,bytes,1720833029.0,ns,8
Decode,Num threads,8,204439,bytes,2005041582.0,ns,9
Decode,Num threads,8,204439,bytes,2180431452.0,ns,10
