group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Encode,Num threads,12,204439,bytes,1148826510.0,ns,1
Encode,Num threads,12,204439,bytes,3022698610.0,ns,2
Encode,Num threads,12,204439,bytes,4860190454.0,ns,3
Encode,Num threads,12,204439,bytes,6760586491.0,ns,4
Encode,Num threads,12,204439,bytes,8600033236.0,ns,5
Encode,Num threads,12,204439,bytes,10375595350.0,ns,6
Encode,Num threads,12,204439,bytes,12313972853.0,ns,7
Encode,Num threads,12,204439,bytes,13698254080.0,ns,8
Encode,Num threads,12,204439,bytes,15350968174.0,ns,9
Encode,Num threads,12,204439,bytes,17199822520.0,ns,10
