group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Encode,Num threads,3,204439,bytes,1189517763.0,ns,1
Encode,Num threads,3,204439,bytes,2256541371.0,ns,2
Encode,Num threads,3,204439,bytes,4382302828.0,ns,3
Encode,Num threads,3,204439,bytes,4711002573.0,ns,4
Encode,Num threads,3,204439,bytes,6679864330.0,ns,5
Encode,Num threads,3,204439,bytes,7033221656.0,ns,6
Encode,Num threads,3,204439,bytes,9143670039.0,ns,7
Encode,Num threads,3,204439,bytes,10272942858.0,ns,8
Encode,Num threads,3,204439,bytes,11441096711.0,ns,9
Encode,Num threads,3,204439,bytes,12652542194.0,ns,10
