group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Encode,Num threads,4,204439,bytes,1145210257.0,ns,1
Encode,Num threads,4,204439,bytes,2335831227.0,ns,2
Encode,Num threads,4,204439,bytes,3448129289.0,ns,3
Encode,Num threads,4,204439,bytes,5750668932.0,ns,4
Encode,Num threads,4,204439,bytes,5741361728.0,ns,5
Encode,Num threads,4,204439,bytes,7760753860.0,ns,6
Encode,Num threads,4,204439,bytes,9609931024.0,ns,7
Encode,Num threads,4,204439,bytes,13815606070.0,ns,8
Encode,Num threads,4,204439,bytes,14691469502.0,ns,9
Encode,Num threads,4,204439,bytes,16631126828.0,ns,10
