group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Encode,Num threads,8,204439,bytes,1145300303.0,ns,1
Encode,Num threads,8,204439,bytes,3033141733.0,ns,2
Encode,Num threads,8,204439,bytes,4901073803.0,ns,3
Encode,Num threads,8,204439,bytes,6052740162.0,ns,4
Encode,Num threads,8,204439,bytes,7928729817.0,ns,5
Encode,Num threads,8,204439,bytes,9770249021.0,ns,6
Encode,Num threads,8,204439,bytes,10319590278.0,ns,7
Encode,Num threads,8,204439,bytes,11481237929.0,ns,8
Encode,Num threads,8,204439,bytes,12590672997.0,ns,9
Encode,Num threads,8,204439,bytes,14535247050.0,ns,10
