group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Encode,Num threads,16,204439,bytes,1146306149.0,ns,1
Encode,Num threads,16,204439,bytes,2977315202.0,ns,2
Encode,Num threads,16,204439,bytes,4947723062.0,ns,3
Encode,Num threads,16,204439,bytes,6073819632.0,ns,4
Encode,Num threads,16,204439,bytes,7877698232.0,ns,5
Encode,Num threads,16,204439,bytes,9778202438.0,ns,6
Encode,Num threads,16,204439,bytes,10859767831.0,ns,7
Encode,Num threads,16,204439,bytes,13475233110.0,ns,8
Encode,Num threads,16,204439,bytes,14659218682.0,ns,9
Encode,Num threads,16,204439,bytes,16513792662.0,ns,10
