group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Encode,Num threads,2,204439,bytes,1119436584.0,ns,1
Encode,Num threads,2,204439,bytes,3042678770.0,ns,2
Encode,Num threads,2,204439,bytes,4375608927.0,ns,3
Encode,Num threads,2,204439,bytes,5391513096.0,ns,4
Encode,Num threads,2,204439,bytes,7192651842.0,ns,5
Encode,Num threads,2,204439,bytes,8542719393.0,ns,6
Encode,Num threads,2,204439,bytes,10316699758.0,ns,7
Encode,Num threads,2,204439,bytes,10757934966.0,ns,8
Encode,Num threads,2,204439,bytes,12671816571.0,ns,9
Encode,Num threads,2,204439,bytes,14721302864.0,ns,10
