group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Encode,Num threads,19,204439,bytes,1167116360.0,ns,1
Encode,Num threads,19,204439,bytes,3049408575.0,ns,2
Encode,Num threads,19,204439,bytes,4855403786.0,ns,3
Encode,Num threads,19,204439,bytes,6069035828.0,ns,4
Encode,Num threads,19,204439,bytes,7219700706.0,ns,5
Encode,Num threads,19,204439,bytes,9069481595.0,ns,6
Encode,Num threads,19,204439,bytes,11652382222.0,ns,7
Encode,Num threads,19,204439,bytes,12924385333.0,ns,8
Encode,Num threads,19,204439,bytes,13347077200.0,ns,9
Encode,Num threads,19,204439,bytes,15221316200.0,ns,10
